method,mean_rank
oracle,1.0
signal_entropy,5.0
signal_margin_prob,5.0
signal_margin_logit,5.0
signal_temp_msp,5.0
signal_msp,5.0
A0_rank,7.666666666666667
A1_logreg_naive_meta,8.333333333333334
A1_logreg,9.0
A2_adaptive_loss3,10.333333333333334
A2_mlp_bce,12.333333333333334
A2_mlp_loss3,12.333333333333334
A2_mlp_loss1,13.0
A1_lightgbm,13.666666666666666
A2_mlp_loss2,13.666666666666666
signal_local_label_agreement,14.0
signal_trust_score,16.0
signal_energy,16.0
random,19.666666666666668
signal_logitnorm_msp,20.0
signal_mahalanobis,20.333333333333332
signal_knn_distance,20.666666666666668
